,word,pos,prevPOS,PrevWord,iob,Vector,PrevIOB,CaseStatus
121,change,VB,TO,to,O,0.19705038918476034,O,0
122,the,DT,VB,change,O,0.9044107606172334,O,0
123,lyric,NN,DT,the,O,0.5649324047521508,O,0
124,like,IN,NN,lyric,O,0.5477263416632527,O,0
125,they,PRP,IN,like,O,0.9068687696299331,O,0
126,did,VBD,PRP,they,O,0.2923665164550048,O,0
127,on,IN,VBD,did,O,0.6486412672402021,O,0
128,P.O.P,NNP,IN,on,I-MISC,0.0,O,2
129,and,CC,NNP,P.O.P,O,0.08152396558787382,I-MISC,0
130,HUMANITY,NNP,CC,and,I-MISC,0.4668851563566844,O,3
131,.,.,NNP,HUMANITY,O,0.0,I-MISC,0
132, ,VB,.,.,O,0.0,O,0
133,UK,NNP,VB, ,I-LOC,0.9385497746825072,O,0
134,Edition,NNP,NNP,UK,O,0.32473030178888435,I-LOC,1
135,came,VBD,NNP,Edition,O,0.17315307933906868,O,0
136,with,IN,VBD,came,O,0.985525058036324,O,0
137,the,DT,IN,with,O,0.9044107606172334,O,0
138,OSC-DIS,NNP,DT,the,I-MISC,0.0,O,2
139,video,NN,NNP,OSC-DIS,O,0.9594428512904547,I-MISC,0
140,",",",",NN,video,O,0.0,O,0
141,and,CC,",",",",O,0.08152396558787382,O,0
142,most,JJS,CC,and,O,0.6080841185306568,O,0
143,of,IN,JJS,most,O,0.644271473439847,O,0
144,the,DT,IN,of,O,0.9044107606172334,O,0
145,tracks,NNS,DT,the,O,0.9225727160999591,O,0
146,were,VBD,NNS,tracks,O,0.9762392462105695,O,0
147,re-engineered,JJ,VBD,were,O,0.0,O,0
148,.,.,JJ,re-engineered,O,0.0,O,0
149, ,JJ,.,.,O,0.0,O,0
150,-DOCSTART-,JJ,JJ, ,O,0.0,O,0
151, ,VBD,JJ,-DOCSTART-,O,0.0,O,0
152,The,DT,VBD, ,O,0.9044107606172334,O,0
153,139th,CD,DT,The,I-ORG,0.004506349856616141,O,0
154,was,VBD,CD,139th,O,0.9700942236788201,I-ORG,0
155,formed,VBN,VBD,was,O,0.39437389048204285,O,0
156,at,IN,VBN,formed,O,0.1021439300832992,O,0
157,Camp,NNP,IN,at,I-LOC,0.17369930356411306,O,1
158,Howe,NNP,NNP,Camp,I-LOC,0.4652464836815513,I-LOC,1
159,",",",",NNP,Howe,O,0.0,I-LOC,0
160,near,IN,",",",",O,0.6229687286631163,O,0
161,Pittsburgh,NNP,IN,near,I-LOC,0.6964358869315854,O,1
162,",",",",NNP,Pittsburgh,O,0.0,I-LOC,0
163,on,IN,",",",",O,0.6486412672402021,O,0
164,September,NNP,IN,on,O,0.8196094496790932,O,1
165,1,CD,NNP,September,O,0.0,O,0
166,",",",",CD,1,O,0.0,O,0
167,1862,CD,",",",",O,0.012016932950976375,O,0
168,.,.,CD,1862,O,0.0,O,0
169, ,VB,.,.,O,0.0,O,0
170,Frederick,NNP,VB, ,I-PER,0.40024580090127,O,0
171,H.,NNP,NNP,Frederick,I-PER,0.0,I-PER,1
172,Collier,NNP,NNP,H.,I-PER,0.2175337976239246,I-PER,1
173,was,VBD,NNP,Collier,O,0.9700942236788201,I-PER,0
174,the,DT,VBD,was,O,0.9044107606172334,O,0
175,first,JJ,DT,the,O,0.383039737812372,O,0
176,colonel,NN,JJ,first,O,0.2182165779052301,O,0
177,.,.,NN,colonel,O,0.0,O,0
178, ,NN,.,.,O,0.0,O,0
179,After,IN,NN, ,O,0.06445445855523692,O,0
180,burying,VBG,IN,After,O,0.16673494469479722,O,0
181,the,DT,VBG,burying,O,0.9044107606172334,O,0
182,dead,JJ,DT,the,O,0.2728390004096682,O,0
183,on,IN,JJ,dead,O,0.6486412672402021,O,0
184,the,DT,IN,on,O,0.9044107606172334,O,0
185,field,NN,DT,the,O,0.3777140516181893,O,0
186,of,IN,NN,field,O,0.644271473439847,O,0
187,Second,JJ,IN,of,I-MISC,0.8122354226409941,O,1
188,Battle,NNP,JJ,Second,I-MISC,0.12508534753516318,I-MISC,1
189,of,IN,NNP,Battle,I-MISC,0.644271473439847,I-MISC,0
190,Bull,NNP,IN,of,I-MISC,0.1648231599071419,I-MISC,1
191,Run,NNP,NNP,Bull,I-MISC,0.7916154581455688,I-MISC,1
192,",",",",NNP,Run,O,0.0,I-MISC,0
193,the,DT,",",",",O,0.9044107606172334,O,0
194,regiment,NN,DT,the,O,0.7580226683053394,O,0
195,was,VBD,NN,regiment,O,0.9700942236788201,O,0
196,attached,VBN,VBD,was,O,0.10378260275843233,O,0
197,to,TO,VBN,attached,O,0.9151986890618599,O,0
198,Howe,NNP,TO,to,I-ORG,0.4652464836815513,O,1
199,'s,POS,NNP,Howe,I-ORG,0.0,I-ORG,0
200,Brigade,NNP,POS,'s,I-ORG,0.15703946470025945,I-ORG,1
201,of,IN,NNP,Brigade,O,0.644271473439847,I-ORG,0
202,Couch,NNP,IN,of,I-ORG,0.25099003140789294,O,1
203,'s,POS,NNP,Couch,I-ORG,0.0,I-ORG,0
204,Division,NNP,POS,'s,I-ORG,0.3045200054622422,I-ORG,1
205,of,IN,NNP,Division,O,0.644271473439847,I-ORG,0
206,the,DT,IN,of,O,0.9044107606172334,O,0
207,IV,NNP,DT,the,I-ORG,0.5011607264782193,O,3
208,Corps,NNP,NNP,IV,I-ORG,0.24907824662023761,I-ORG,1
209,of,IN,NNP,Corps,O,0.644271473439847,I-ORG,0
210,the,DT,IN,of,O,0.9044107606172334,O,0
211,Army,NNP,DT,the,I-ORG,0.09504301515772225,O,1
212,of,IN,NNP,Army,I-ORG,0.644271473439847,I-ORG,0
213,the,DT,IN,of,I-ORG,0.9044107606172334,I-ORG,0
214,Potomac,NNP,DT,the,I-ORG,0.7107742728390004,I-ORG,1
215,where,WRB,NNP,Potomac,O,0.9788338112795303,I-ORG,0
216,it,PRP,WRB,where,O,0.5004779461969139,O,0
217,replaced,VBD,PRP,it,O,0.766216031681005,O,0
218,De,NNP,VBD,replaced,I-ORG,0.27270244435340707,O,1
219,Trobriand,NNP,NNP,De,I-ORG,0.9321316400382357,I-ORG,1
220,'s,POS,NNP,Trobriand,I-ORG,0.0,I-ORG,0
221,55th,JJ,POS,'s,I-ORG,0.04001092448450089,I-ORG,0
222,New,NNP,JJ,55th,I-ORG,0.6277481906322545,I-ORG,1
223,York,NNP,NNP,New,I-ORG,0.9952205380308616,I-ORG,1
224,",",",",NNP,York,O,0.0,I-ORG,0
225,Gardes,NNP,",",",",I-ORG,0.41048750512085214,O,1
226,Lafayette,NNP,NNP,Gardes,I-ORG,0.5295643861805271,I-ORG,1
227,regiment,NN,NNP,Lafayette,O,0.7580226683053394,I-ORG,0
228,on,IN,NN,regiment,O,0.6486412672402021,O,0
229,September,NNP,IN,on,O,0.8196094496790932,O,1
230,11,CD,NNP,September,O,0.0025945650689608085,O,0
231,",",",",CD,11,O,0.0,O,0
232,1862,CD,",",",",O,0.012016932950976375,O,0
233,.,.,CD,1862,O,0.0,O,0
234, ,VB,.,.,O,0.0,O,0
235,The,DT,VB, ,O,0.9044107606172334,O,0
236,composition,NN,DT,The,O,0.229550730574901,O,0
237,of,IN,NN,composition,O,0.644271473439847,O,0
238,this,DT,IN,of,O,0.9080977741362829,O,0
239,brigade,NN,DT,this,O,0.15703946470025945,O,0
240,remained,VBD,NN,brigade,O,0.7632117984432609,O,0
241,unchanged,JJ,VBD,remained,O,0.9396422231325959,O,0
242,from,IN,JJ,unchanged,O,0.4033865901952752,O,0
243,this,DT,IN,from,O,0.9080977741362829,O,0
244,point,NN,DT,this,O,0.7018981291820292,O,0
245,until,IN,NN,point,O,0.9459238017206063,O,0
246,the,DT,IN,until,O,0.9044107606172334,O,0
247,war,NN,DT,the,O,0.9688652191724703,O,0
248,'s,POS,NN,war,O,0.0,O,0
249,end,NN,POS,'s,O,0.33633756657107744,O,0
250,and,CC,NN,end,O,0.08152396558787382,O,0
251,included,VBD,CC,and,O,0.4786289771951386,O,0
252,the,DT,VBD,included,O,0.9044107606172334,O,0
253,62d,CD,DT,the,I-ORG,0.04137648504711184,O,0
254,NY,NNP,CD,62d,I-ORG,0.6390823433019255,I-ORG,3
255,",",",",NNP,NY,O,0.0,I-ORG,0
256,93d,CD,",",",",I-ORG,0.04588283490372798,O,0
257,PVI,NNP,CD,93d,I-ORG,0.7361736993035641,I-ORG,3
258,",",",",NNP,PVI,O,0.0,I-ORG,0
259,98th,CD,",",",",I-ORG,0.04629250307251127,O,0
260,PVI,NNP,CD,98th,I-ORG,0.7361736993035641,I-ORG,3
261,and,CC,NNP,PVI,O,0.08152396558787382,I-ORG,0
262,the,DT,CC,and,O,0.9044107606172334,O,0
263,102d,CD,DT,the,I-ORG,0.0020483408439164277,O,0
264,PVI,NNP,CD,102d,I-ORG,0.7361736993035641,I-ORG,3
265,.,.,NNP,PVI,O,0.0,I-ORG,0
266, ,NN,.,.,O,0.0,O,0
267,During,IN,NN, ,O,0.31899494742591833,O,0
268,this,DT,IN,During,O,0.9080977741362829,O,0
269,time,NN,DT,this,O,0.9136965724429879,O,0
270,Couch,NNP,NN,time,I-ORG,0.25099003140789294,O,1
271,'s,POS,NNP,Couch,I-ORG,0.0,I-ORG,0
272,Division,NNP,POS,'s,I-ORG,0.3045200054622422,I-ORG,1
273,was,VBD,NNP,Division,O,0.9700942236788201,I-ORG,0
274,detached,VBN,VBD,was,O,0.28772361054212753,O,0
275,from,IN,VBN,detached,O,0.4033865901952752,O,0
276,the,DT,IN,from,O,0.9044107606172334,O,0
277,Army,NNP,DT,the,I-ORG,0.09504301515772225,O,1
278,and,CC,NNP,Army,O,0.08152396558787382,I-ORG,0
279,was,VBD,CC,and,O,0.9700942236788201,O,0
280,occupied,VBN,VBD,was,O,0.6429059128772361,O,0
281,with,IN,VBN,occupied,O,0.985525058036324,O,0
282,guarding,VBG,IN,with,O,0.43192680595384403,O,0
283,the,DT,VBG,guarding,O,0.9044107606172334,O,0
284,fords,NNS,DT,the,O,0.39328144203195414,O,0
285,on,IN,NNS,fords,O,0.6486412672402021,O,0
286,the,DT,IN,on,O,0.9044107606172334,O,0
287,Potomac,NNP,DT,the,I-LOC,0.7107742728390004,O,1
288,.,.,NNP,Potomac,O,0.0,I-LOC,0
289, ,VB,.,.,O,0.0,O,0
290,The,DT,VB, ,O,0.9044107606172334,O,0
291,139th,CD,DT,The,I-ORG,0.004506349856616141,O,0
292,along,IN,CD,139th,O,0.07414993854977468,I-ORG,0
293,with,IN,IN,along,O,0.985525058036324,O,0
294,its,PRP$,IN,with,O,0.5008876143656971,O,0
295,brigade,NN,PRP$,its,O,0.15703946470025945,O,0
296,and,CC,NN,brigade,O,0.08152396558787382,O,0
297,division,NN,CC,and,O,0.3045200054622422,O,0
298,spent,VBD,NN,division,O,0.8553871364195003,O,0
299,the,DT,VBD,spent,O,0.9044107606172334,O,0
300,next,JJ,DT,the,O,0.6293868633073877,O,0
301,week,NN,JJ,next,O,0.9733715690290864,O,0
302,marching,VBG,NN,week,O,0.5758568892530384,O,0
303,from,IN,VBG,marching,O,0.4033865901952752,O,0
304,Poolesville,NNP,IN,from,I-LOC,0.7051754745322955,O,1
305,to,TO,NNP,Poolesville,O,0.9151986890618599,I-LOC,0
306,Sandy,NNP,TO,to,I-LOC,0.7978970367335791,O,1
307,Hook,NNP,NNP,Sandy,I-LOC,0.46046702171241294,I-LOC,1
308,",",",",NNP,Hook,O,0.0,I-LOC,0
309,Maryland,NNP,",",",",I-LOC,0.5794073467158268,O,1
310,from,IN,NNP,Maryland,O,0.4033865901952752,I-LOC,0
311,where,WRB,IN,from,O,0.9788338112795303,O,0
312,on,IN,WRB,where,O,0.6486412672402021,O,0
313,September,NNP,IN,on,O,0.8196094496790932,O,1
314,17,CD,NNP,September,O,0.006691246756793664,O,0
315,",",",",CD,17,O,0.0,O,0
316,1862,CD,",",",",O,0.012016932950976375,O,0
317,",",",",CD,1862,O,0.0,O,0
318,it,PRP,",",",",O,0.5004779461969139,O,0
319,was,VBD,PRP,it,O,0.9700942236788201,O,0
320,forced,VBN,VBD,was,O,0.39287177386317085,O,0
321,marched,VBN,VBN,forced,O,0.5757203331967773,O,0
322,to,TO,VBN,marched,O,0.9151986890618599,O,0
323,the,DT,TO,to,O,0.9044107606172334,O,0
324,Battle,NNP,DT,the,I-MISC,0.12508534753516318,O,1
325,of,IN,NNP,Battle,I-MISC,0.644271473439847,I-MISC,0
326,Antietam,NNP,IN,of,I-MISC,0.08671309572579544,I-MISC,1
327,where,WRB,NNP,Antietam,O,0.9788338112795303,I-MISC,0
328,it,PRP,WRB,where,O,0.5004779461969139,O,0
329,was,VBD,PRP,it,O,0.9700942236788201,O,0
330,placed,VBN,VBD,was,O,0.6967089990441077,O,0
331,in,IN,VBN,placed,O,0.47699030452000546,O,0
332,line,NN,IN,in,O,0.5492284582821249,O,0
333,of,IN,NN,line,O,0.644271473439847,O,0
334,battle,NN,IN,of,O,0.12508534753516318,O,0
335,but,CC,NN,battle,O,0.16796394920114707,O,0
336,did,VBD,CC,but,O,0.2923665164550048,O,0
337,not,RB,VBD,did,O,0.635531885839137,O,0
338,see,VB,RB,not,O,0.8140106513723884,O,0
339,any,DT,VB,see,O,0.08725931995083983,O,0
340,significant,JJ,DT,any,O,0.833538167417725,O,0
341,combat,NN,JJ,significant,O,0.21999180663662432,O,0
342,.,.,NN,combat,O,0.0,O,0
343, ,VB,.,.,O,0.0,O,0
344,The,DT,VB, ,O,0.9044107606172334,O,0
345,next,JJ,DT,The,O,0.6293868633073877,O,0
346,day,NN,JJ,next,O,0.2724293322408849,O,0
347,",",",",NN,day,O,0.0,O,0
348,the,DT,",",",",O,0.9044107606172334,O,0
349,regiment,NN,DT,the,O,0.7580226683053394,O,0
350,pursued,VBD,NN,regiment,O,0.7354909190222586,O,0
351,the,DT,VBD,pursued,O,0.9044107606172334,O,0
352,Confederate,NNP,DT,the,I-ORG,0.23187218353133962,O,1
353,army,NN,NNP,Confederate,O,0.09504301515772225,I-ORG,0
354,and,CC,NN,army,O,0.08152396558787382,O,0
355,fought,NN,CC,and,O,0.3965587873822204,O,0
356,in,IN,NN,fought,O,0.47699030452000546,O,0
357,a,DT,IN,in,O,0.0,O,0
358,skirmish,NN,DT,a,O,0.8409121944558241,O,0
359,at,IN,NN,skirmish,O,0.1021439300832992,O,0
360,Williamsport,NNP,IN,at,I-LOC,0.9827939369111021,O,1
361,.,.,NNP,Williamsport,O,0.0,I-LOC,0
362, ,VB,.,.,O,0.0,O,0
363,The,DT,VB, ,O,0.9044107606172334,O,0
364,139th,CD,DT,The,I-ORG,0.004506349856616141,O,0
365,was,VBD,CD,139th,O,0.9700942236788201,I-ORG,0
366,transferred,VBN,VBD,was,O,0.9251672811689199,O,0
367,in,IN,VBN,transferred,O,0.47699030452000546,O,0
368,October,NNP,IN,in,O,0.6437252492148027,O,1
369,1862,CD,NNP,October,O,0.012016932950976375,O,0
370,to,TO,CD,1862,O,0.9151986890618599,O,0
371,the,DT,TO,to,O,0.9044107606172334,O,0
372,VI,NNP,DT,the,I-ORG,0.9576676225590605,O,3
373,Corps,NNP,NNP,VI,I-ORG,0.24907824662023761,I-ORG,1
374,.,.,NNP,Corps,O,0.0,I-ORG,0
375, ,NN,.,.,O,0.0,O,0
376,In,IN,NN, ,O,0.47699030452000546,O,0
377,the,DT,IN,In,O,0.9044107606172334,O,0
378,Battle,NNP,DT,the,I-MISC,0.12508534753516318,O,1
379,of,IN,NNP,Battle,I-MISC,0.644271473439847,I-MISC,0
380,Fredericksburg,NNP,IN,of,I-MISC,0.40038235695753105,I-MISC,1
381,",",",",NNP,Fredericksburg,O,0.0,I-MISC,0
382,it,PRP,",",",",O,0.5004779461969139,O,0
383,suffered,VBD,PRP,it,O,0.8799672265464973,O,0
384,minor,JJ,VBD,suffered,O,0.5998907551549911,O,0
385,casualties,NNS,JJ,minor,O,0.18721835313396148,O,0
386,from,IN,NNS,casualties,O,0.4033865901952752,O,0
387,artillery,NN,IN,from,O,0.09722791205789977,O,0
388,fire,NN,NN,artillery,O,0.3823569575310665,O,0
389,",",",",NN,fire,O,0.0,O,0
390,but,CC,",",",",O,0.16796394920114707,O,0
391,did,VBD,CC,but,O,0.2923665164550048,O,0
392,n't,RB,VBD,did,O,0.0,O,0
393,get,VB,RB,n't,O,0.4170421958213847,O,0
394,a,DT,VB,get,O,0.0,O,0
395,chance,NN,DT,a,O,0.19664072101597707,O,0
396,to,TO,NN,chance,O,0.9151986890618599,O,0
397,fight,VB,TO,to,O,0.37826027584323363,O,0
398,.,.,VB,fight,O,0.0,O,0
399, ,VB,.,.,O,0.0,O,0
400,Five,CD,VB, ,O,0.38413218626246076,O,0
401,months,NNS,CD,Five,O,0.6063088897992626,O,0
402,later,RB,NNS,months,O,0.5333879557558378,O,0
403,",",",",RB,later,O,0.0,O,0
404,however,RB,",",",",O,0.4655195957940735,O,0
405,",",",",RB,however,O,0.0,O,0
406,it,PRP,",",",",O,0.5004779461969139,O,0
407,did,VBD,PRP,it,O,0.2923665164550048,O,0
408,participate,VB,VBD,did,O,0.6708999044107606,O,0
409,in,IN,VB,participate,O,0.47699030452000546,O,0
410,the,DT,IN,in,O,0.9044107606172334,O,0
411,2nd,JJ,DT,the,I-MISC,0.034139014065273796,O,0
412,Battle,NNP,JJ,2nd,I-MISC,0.12508534753516318,I-MISC,1
413,of,IN,NNP,Battle,I-MISC,0.644271473439847,I-MISC,0
414,Fredericksburg,NNP,IN,of,I-MISC,0.40038235695753105,I-MISC,1
415,.,.,NNP,Fredericksburg,O,0.0,I-MISC,0
416, ,NN,.,.,O,0.0,O,0
417,At,IN,NN, ,O,0.1021439300832992,O,0
418,the,DT,IN,At,O,0.9044107606172334,O,0
419,Battle,NNP,DT,the,I-MISC,0.12508534753516318,O,1
420,of,IN,NNP,Battle,I-MISC,0.644271473439847,I-MISC,0
421,Gettysburg,NNP,IN,of,I-MISC,0.417451863990168,I-MISC,1
422,in,IN,NNP,Gettysburg,O,0.47699030452000546,I-MISC,0
423,July,NNP,IN,in,O,0.5131776594291957,O,1
424,",",",",NNP,July,O,0.0,O,0
425,it,PRP,",",",",O,0.5004779461969139,O,0
426,helped,VBD,PRP,it,O,0.44817697664891437,O,0
427,defend,VB,VBD,helped,O,0.2784377987163731,O,0
428,the,DT,VB,defend,O,0.9044107606172334,O,0
429,left,JJ,DT,the,O,0.5395329782875871,O,0
430,flank,NN,JJ,left,O,0.3854977468250717,O,0
431,of,IN,NN,flank,O,0.644271473439847,O,0
432,the,DT,IN,of,O,0.9044107606172334,O,0
433,Union,NNP,DT,the,I-ORG,0.9426464563703401,O,1
434,army,NN,NNP,Union,O,0.09504301515772225,I-ORG,0
435,.,.,NN,army,O,0.0,O,0
436, ,VB,.,.,O,0.0,O,0
437,Throughout,IN,VB, ,O,0.9104192270927216,O,0
438,the,DT,IN,Throughout,O,0.9044107606172334,O,0
439,spring,NN,DT,the,O,0.8578451454321999,O,0
440,and,CC,NN,spring,O,0.08152396558787382,O,0
441,into,IN,CC,and,O,0.49542537211525334,O,0
442,early,JJ,IN,into,O,0.32199918066366245,O,0
443,summer,NN,JJ,early,O,0.8820155673904138,O,0
444,of,IN,NN,summer,O,0.644271473439847,O,0
445,1864,CD,IN,of,O,0.012153489007237471,O,0
446,",",",",CD,1864,O,0.0,O,0
447,the,DT,",",",",O,0.9044107606172334,O,0
448,139th,CD,DT,the,I-ORG,0.004506349856616141,O,0
449,fought,NN,CD,139th,O,0.3965587873822204,I-ORG,0
450,in,IN,NN,fought,O,0.47699030452000546,O,0
451,Grant,NNP,IN,in,I-MISC,0.42728390004096684,O,1
452,'s,POS,NNP,Grant,I-MISC,0.0,I-MISC,0
453,Overland,NNP,POS,'s,I-MISC,0.6616140925850061,I-MISC,1
454,Campaign,NNP,NNP,Overland,I-MISC,0.17383585962037415,I-MISC,1
455,and,CC,NNP,Campaign,O,0.08152396558787382,I-MISC,0
456,the,DT,CC,and,O,0.9044107606172334,O,0
457,early,JJ,DT,the,O,0.32199918066366245,O,0
458,stages,NNS,JJ,early,O,0.8604397105011607,O,0
459,of,IN,NNS,stages,O,0.644271473439847,O,0
460,the,DT,IN,of,O,0.9044107606172334,O,0
461,Siege,NNP,DT,the,I-MISC,0.8323091629113751,O,1
462,of,IN,NNP,Siege,I-MISC,0.644271473439847,I-MISC,0
463,Petersburg,NNP,IN,of,I-MISC,0.6867404069370476,I-MISC,1
464,.,.,NNP,Petersburg,O,0.0,I-MISC,0
465, ,NN,.,.,O,0.0,O,0
466,In,IN,NN, ,O,0.47699030452000546,O,0
