,word,pos,iob
136,OSC-DIS,NNP,I-MISC
137,video,NN,O
138,",",",",O
139,and,CC,O
140,most,JJS,O
141,of,IN,O
142,the,DT,O
143,tracks,NNS,O
144,were,VBD,O
145,re-engineered,JJ,O
146,.,.,O
147, ,JJ,O
148,-DOCSTART-,JJ,O
149, ,VBD,O
150,The,DT,O
151,139th,CD,I-ORG
152,was,VBD,O
153,formed,VBN,O
154,at,IN,O
155,Camp,NNP,I-LOC
156,Howe,NNP,I-LOC
157,",",",",O
158,near,IN,O
159,Pittsburgh,NNP,I-LOC
160,",",",",O
161,on,IN,O
162,September,NNP,O
163,1,CD,O
164,",",",",O
165,1862,CD,O
166,.,.,O
167, ,VB,O
168,Frederick,NNP,I-PER
169,H.,NNP,I-PER
170,Collier,NNP,I-PER
171,was,VBD,O
172,the,DT,O
173,first,JJ,O
174,colonel,NN,O
175,.,.,O
176, ,NN,O
177,After,IN,O
178,burying,VBG,O
179,the,DT,O
180,dead,JJ,O
181,on,IN,O
182,the,DT,O
183,field,NN,O
184,of,IN,O
185,Second,JJ,I-MISC
186,Battle,NNP,I-MISC
187,of,IN,I-MISC
188,Bull,NNP,I-MISC
189,Run,NNP,I-MISC
190,",",",",O
191,the,DT,O
192,regiment,NN,O
193,was,VBD,O
194,attached,VBN,O
195,to,TO,O
196,Howe,NNP,I-ORG
197,'s,POS,I-ORG
198,Brigade,NNP,I-ORG
199,of,IN,O
200,Couch,NNP,I-ORG
201,'s,POS,I-ORG
202,Division,NNP,I-ORG
203,of,IN,O
204,the,DT,O
205,IV,NNP,I-ORG
206,Corps,NNP,I-ORG
207,of,IN,O
208,the,DT,O
209,Army,NNP,I-ORG
210,of,IN,I-ORG
211,the,DT,I-ORG
212,Potomac,NNP,I-ORG
213,where,WRB,O
214,it,PRP,O
215,replaced,VBD,O
216,De,NNP,I-ORG
217,Trobriand,NNP,I-ORG
218,'s,POS,I-ORG
219,55th,JJ,I-ORG
220,New,NNP,I-ORG
221,York,NNP,I-ORG
222,",",",",O
223,Gardes,NNP,I-ORG
224,Lafayette,NNP,I-ORG
225,regiment,NN,O
226,on,IN,O
227,September,NNP,O
228,11,CD,O
229,",",",",O
230,1862,CD,O
231,.,.,O
232, ,VB,O
233,The,DT,O
234,composition,NN,O
235,of,IN,O
236,this,DT,O
237,brigade,NN,O
238,remained,VBD,O
239,unchanged,JJ,O
240,from,IN,O
241,this,DT,O
242,point,NN,O
243,until,IN,O
244,the,DT,O
245,war,NN,O
246,'s,POS,O
247,end,NN,O
248,and,CC,O
249,included,VBD,O
250,the,DT,O
251,62d,CD,I-ORG
252,NY,NNP,I-ORG
253,",",",",O
254,93d,CD,I-ORG
255,PVI,NNP,I-ORG
256,",",",",O
257,98th,CD,I-ORG
258,PVI,NNP,I-ORG
259,and,CC,O
260,the,DT,O
261,102d,CD,I-ORG
262,PVI,NNP,I-ORG
263,.,.,O
264, ,NN,O
265,During,IN,O
266,this,DT,O
267,time,NN,O
268,Couch,NNP,I-ORG
269,'s,POS,I-ORG
270,Division,NNP,I-ORG
271,was,VBD,O
272,detached,VBN,O
273,from,IN,O
274,the,DT,O
275,Army,NNP,I-ORG
276,and,CC,O
277,was,VBD,O
278,occupied,VBN,O
279,with,IN,O
280,guarding,VBG,O
281,the,DT,O
282,fords,NNS,O
283,on,IN,O
284,the,DT,O
285,Potomac,NNP,I-LOC
286,.,.,O
287, ,VB,O
288,The,DT,O
289,139th,CD,I-ORG
290,along,IN,O
291,with,IN,O
292,its,PRP$,O
293,brigade,NN,O
294,and,CC,O
295,division,NN,O
296,spent,VBD,O
297,the,DT,O
298,next,JJ,O
299,week,NN,O
300,marching,VBG,O
301,from,IN,O
302,Poolesville,NNP,I-LOC
303,to,TO,O
304,Sandy,NNP,I-LOC
305,Hook,NNP,I-LOC
306,",",",",O
307,Maryland,NNP,I-LOC
308,from,IN,O
309,where,WRB,O
310,on,IN,O
311,September,NNP,O
312,17,CD,O
313,",",",",O
314,1862,CD,O
315,",",",",O
316,it,PRP,O
317,was,VBD,O
318,forced,VBN,O
319,marched,VBN,O
320,to,TO,O
321,the,DT,O
322,Battle,NNP,I-MISC
323,of,IN,I-MISC
324,Antietam,NNP,I-MISC
325,where,WRB,O
326,it,PRP,O
327,was,VBD,O
328,placed,VBN,O
329,in,IN,O
330,line,NN,O
331,of,IN,O
332,battle,NN,O
333,but,CC,O
334,did,VBD,O
335,not,RB,O
336,see,VB,O
337,any,DT,O
338,significant,JJ,O
339,combat,NN,O
340,.,.,O
341, ,VB,O
342,The,DT,O
343,next,JJ,O
344,day,NN,O
345,",",",",O
346,the,DT,O
347,regiment,NN,O
348,pursued,VBD,O
349,the,DT,O
350,Confederate,NNP,I-ORG
351,army,NN,O
352,and,CC,O
353,fought,NN,O
354,in,IN,O
355,a,DT,O
356,skirmish,NN,O
357,at,IN,O
358,Williamsport,NNP,I-LOC
359,.,.,O
360, ,VB,O
361,The,DT,O
362,139th,CD,I-ORG
363,was,VBD,O
364,transferred,VBN,O
365,in,IN,O
366,October,NNP,O
367,1862,CD,O
368,to,TO,O
369,the,DT,O
370,VI,NNP,I-ORG
371,Corps,NNP,I-ORG
372,.,.,O
373, ,NN,O
374,In,IN,O
375,the,DT,O
376,Battle,NNP,I-MISC
377,of,IN,I-MISC
378,Fredericksburg,NNP,I-MISC
379,",",",",O
380,it,PRP,O
381,suffered,VBD,O
382,minor,JJ,O
383,casualties,NNS,O
384,from,IN,O
385,artillery,NN,O
386,fire,NN,O
387,",",",",O
388,but,CC,O
389,did,VBD,O
390,n't,RB,O
391,get,VB,O
392,a,DT,O
393,chance,NN,O
394,to,TO,O
395,fight,VB,O
396,.,.,O
397, ,VB,O
398,Five,CD,O
399,months,NNS,O
400,later,RB,O
401,",",",",O
402,however,RB,O
403,",",",",O
404,it,PRP,O
405,did,VBD,O
406,participate,VB,O
407,in,IN,O
408,the,DT,O
409,2nd,JJ,I-MISC
410,Battle,NNP,I-MISC
411,of,IN,I-MISC
412,Fredericksburg,NNP,I-MISC
413,.,.,O
414, ,NN,O
415,At,IN,O
416,the,DT,O
417,Battle,NNP,I-MISC
418,of,IN,I-MISC
419,Gettysburg,NNP,I-MISC
420,in,IN,O
421,July,NNP,O
422,",",",",O
423,it,PRP,O
424,helped,VBD,O
425,defend,VB,O
426,the,DT,O
427,left,JJ,O
428,flank,NN,O
429,of,IN,O
430,the,DT,O
431,Union,NNP,I-ORG
432,army,NN,O
433,.,.,O
434, ,VB,O
435,Throughout,IN,O
436,the,DT,O
437,spring,NN,O
438,and,CC,O
439,into,IN,O
440,early,JJ,O
441,summer,NN,O
442,of,IN,O
443,1864,CD,O
444,",",",",O
445,the,DT,O
446,139th,CD,I-ORG
447,fought,NN,O
448,in,IN,O
449,Grant,NNP,I-MISC
450,'s,POS,I-MISC
451,Overland,NNP,I-MISC
452,Campaign,NNP,I-MISC
453,and,CC,O
454,the,DT,O
455,early,JJ,O
456,stages,NNS,O
457,of,IN,O
458,the,DT,O
459,Siege,NNP,I-MISC
460,of,IN,I-MISC
461,Petersburg,NNP,I-MISC
462,.,.,O
463, ,NN,O
464,In,IN,O
465,July,NNP,O
466,",",",",O
467,it,PRP,O
468,was,VBD,O
469,transferred,VBN,O
470,to,TO,O
471,Washington,NNP,I-LOC
472,",",",",I-LOC
473,D.C.,NNP,I-LOC
474,with,IN,O
475,the,DT,O
476,rest,NN,O
477,of,IN,O
478,the,DT,O
479,VI,NNP,I-ORG
480,Corps,NNP,I-ORG
481,to,TO,O
482,defeat,VB,O
483,Lt.,NNP,I-PER
484,Gen.,NNP,I-PER
485,Jubal,NNP,I-PER
486,Early,NNP,I-PER
487,'s,POS,O
488,attack,NN,O
489,on,IN,O
490,the,DT,O
491,city,NN,O
492,.,.,O
493, ,CC,O
494,Then,RB,O
495,they,PRP,O
496,fought,VBD,O
497,under,IN,O
498,Philip,NNP,I-PER
499,Sheridan,NNP,I-PER
500,in,IN,O
501,the,DT,O
502,Valley,NNP,I-LOC
503,to,TO,O
504,ensure,VB,O
505,that,IN,O
506,no,DT,O
507,more,JJR,O
508,Confederate,JJ,I-ORG
509,armies,NNS,O
510,would,MD,O
511,invade,VB,O
512,again,RB,O
513,.,.,O
514, ,NN,O
515,(,(,O
516,See,VB,O
517,the,DT,O
518,article,NN,O
519,on,IN,O
520,the,DT,O
521,campaign,NN,O
522,),),O
523,.,.,O
524, ,VBN,O
525,By,IN,O
526,December,NNP,O
527,1864,CD,O
528,",",",",O
529,they,PRP,O
530,were,VBD,O
531,back,RB,O
532,in,IN,O
533,the,DT,O
534,siege,NN,O
535,lines,NNS,O
536,of,IN,O
537,Petersburg,NNP,I-LOC
538,.,.,O
539, ,VB,O
540,The,DT,O
541,139th,CD,I-ORG
542,supported,VBD,O
543,Sheridan,NNP,I-PER
544,in,IN,O
545,the,DT,O
546,Appomattox,NNP,I-MISC
547,Campaign,NNP,I-MISC
548,and,CC,O
549,fought,VBN,O
550,in,IN,O
551,the,DT,O
552,Battle,NNP,I-MISC
553,of,IN,I-MISC
554,Sayler,NNP,I-MISC
555,'s,POS,I-MISC
556,Creek,NNP,I-MISC
557,.,.,O
558, ,NN,O
559,After,IN,O
560,the,DT,O
561,surrender,NN,O
562,at,IN,O
563,Appomattox,NNP,I-LOC
564,Courthouse,NNP,I-LOC
565,",",",",O
566,it,PRP,O
567,was,VBD,O
568,ordered,VBN,O
569,to,TO,O
570,the,DT,O
571,North,NNP,I-LOC
572,Carolina,NNP,I-LOC
573,border,NN,O
574,to,TO,O
575,support,VB,O
576,William,NNP,I-PER
577,T.,NNP,I-PER
578,Sherman,NNP,I-PER
579,",",",",O
580,but,CC,O
581,the,DT,O
582,Confederate,NNP,I-ORG
583,surrender,NN,O
584,there,RB,O
585,made,VBD,O
586,further,JJ,O
587,support,NN,O
588,unnecessary,JJ,O
589,.,.,O
590, ,VB,O
591,The,DT,O
592,regiment,NN,O
593,was,VBD,O
594,mustered,VBN,O
595,out,RP,O
596,June,NNP,O
597,21,CD,O
598,",",",",O
599,1865,CD,O
600,.,.,O
601, ,VB,O
602,-DOCSTART-,JJ,O
603, ,IN,O
604,The,DT,O
605,1896,CD,O
606,Atlantic,NNP,I-LOC
607,City,NNP,I-LOC
608,rail,NN,O
609,crash,NN,O
610,occurred,VBD,O
611,shortly,RB,O
612,after,IN,O
613,6:30,CD,O
614,pm,NN,O
615,on,IN,O
616,July,NNP,O
617,30,CD,O
618,",",",",O
619,1896,CD,O
620,at,IN,O
621,a,DT,O
622,crossing,NN,O
623,just,RB,O
624,west,JJS,O
625,of,IN,O
626,Atlantic,NNP,I-LOC
627,City,NNP,I-LOC
628,",",",",O
629,New,NNP,I-LOC
630,Jersey,NNP,I-LOC
631,",",",",O
632,crushing,VBG,O
633,five,CD,O
634,loaded,JJ,O
635,passenger,NN,O
636,coaches,NNS,O
637,",",",",O
638,killing,VBG,O
639,50,CD,O
640,and,CC,O
641,seriously,RB,O
642,injuring,VBG,O
643,approximately,RB,O
644,60,CD,O
645,.,.,O
646, ,VB,O
647,A,DT,O
648,train,NN,O
649,consisting,NN,O
650,of,IN,O
651,seven,CD,O
652,cars,NNS,O
653,left,VBD,O
654,Atlantic,NNP,I-LOC
655,City,NNP,I-LOC
656,over,IN,O
657,the,DT,O
658,West,NNP,I-LOC
659,Jersey,NNP,I-LOC
660,Railroad,NNP,I-LOC
661,bearing,VBG,O
662,a,DT,O
663,special,JJ,O
664,excursion,NN,O
665,of,IN,O
666,Red,NNP,I-MISC
667,Men,NNP,I-MISC
668,and,CC,O
669,their,PRP$,O
670,friends,NNS,O
671,from,IN,O
672,Bridgeton,NNP,I-LOC
673,and,CC,O
674,Salem,NNP,I-LOC
675,",",",",O
676,New,NNP,I-LOC
677,Jersey,NNP,I-LOC
678,",",",",O
679,and,CC,O
680,had,VBD,O
681,reached,VBN,O
682,the,DT,O
683,crossing,NN,O
684,of,IN,O
685,the,DT,O
686,Reading,NNP,I-LOC
687,Railroad,NN,I-LOC
688,when,WRB,O
689,it,PRP,O
690,was,VBD,O
691,struck,VBN,O
692,by,IN,O
693,the,DT,O
694,5:40,CD,O
695,down,RB,O
696,express,RB,O
697,train,NN,O
698,from,IN,O
699,Philadelphia,NNP,I-LOC
700,.,.,O
701, ,VB,O
702,Two,CD,O
703,cars,NNS,O
704,were,VBD,O
705,demolished,VBN,O
706,and,CC,O
707,the,DT,O
708,two,CD,O
709,following,VBG,O
710,cars,NNS,O
711,were,VBD,O
712,telescoped,VBN,O
713,.,.,O
714, ,VB,O
715,The,DT,O
716,engine,NN,O
717,of,IN,O
718,the,DT,O
719,Reading,NNP,I-LOC
720,train,NN,O
721,was,VBD,O
722,wrecked,VBN,O
723,",",",",O
724,the,DT,O
725,engineer,NN,O
726,killed,VBN,O
727,",",",",O
728,and,CC,O
729,the,DT,O
730,fireman,NN,O
731,fatally,RB,O
732,injured,VBN,O
733,.,.,O
734, ,VB,O
735,The,DT,O
736,car,NN,O
737,behind,IN,O
738,it,PRP,O
739,was,VBD,O
740,thrown,VBN,O
741,from,IN,O
742,the,DT,O
743,track,NN,O
744,and,CC,O
745,many,JJ,O
746,of,IN,O
747,its,PRP$,O
748,occupants,NNS,O
749,were,VBD,O
750,killed,VBN,O
751,or,CC,O
752,injured,VBN,O
753,.,.,O
754, ,NN,O
755,In,IN,O
756,1896,CD,O
757,",",",",O
758,leaving,VBG,O
759,Atlantic,NNP,I-LOC
760,City,NNP,I-LOC
761,",",",",O
762,the,DT,O
763,tracks,NNS,O
764,of,IN,O
765,the,DT,O
766,West,NNP,I-LOC
767,Jersey,NNP,I-LOC
768,Road,NNP,I-LOC
769,ran,VBD,O
770,parallel,RB,O
771,to,TO,O
772,those,DT,O
773,of,IN,O
774,the,DT,O
775,Camden,NNP,I-LOC
776,and,CC,O
777,Atlantic,NNP,I-LOC
778,until,IN,O
779,they,PRP,O
780,crossed,VBD,O
781,the,DT,O
782,drawbridge,NN,O
783,",",",",O
784,when,WRB,O
785,they,PRP,O
786,switched,VBD,O
787,off,IN,O
788,to,TO,O
789,the,DT,O
790,south,NN,O
791,",",",",O
792,crossing,VBG,O
793,the,DT,O
794,Reading,NNP,I-LOC
795,Road,NNP,I-LOC
796,at,IN,O
797,an,DT,O
798,oblique,JJ,O
799,angle,NN,O
800,.,.,O
801, ,CC,O
802,John,NNP,I-PER
803,Greiner,NNP,I-PER
804,",",",",O
805,the,DT,O
806,engineer,NN,O
807,of,IN,O
808,the,DT,O
809,West,NNP,I-LOC
810,Jersey,NNP,I-LOC
811,train,NN,O
812,",",",",O
813,saw,VBD,O
814,the,DT,O
815,Reading,NNP,I-LOC
816,train,NN,O
817,approaching,VBG,O
818,the,DT,O
819,crossing,NN,O
820,at,IN,O
821,a,DT,O
822,swift,JJ,O
823,speed,NN,O
824,",",",",O
825,but,CC,O
826,as,IN,O
827,the,DT,O
828,signals,NNS,O
829,were,VBD,O
830,open,JJ,O
831,for,IN,O
832,him,PRP,O
833,to,TO,O
834,proceed,VB,O
835,on,IN,O
836,his,PRP$,O
837,way,NN,O
838,",",",",O
839,he,PRP,O
840,continued,VBD,O
841,.,.,O
842, ,VB,O
843,His,PRP$,O
844,engine,NN,O
845,had,VBD,O
846,barely,RB,O
847,cleared,VBN,O
848,the,DT,O
849,crossing,NN,O
850,when,WRB,O
851,the,DT,O
852,locomotive,NN,O
853,of,IN,O
854,the,DT,O
855,Reading,NNP,I-LOC
856,train,NN,O
857,",",",",O
858,which,WDT,O
859,left,VBD,O
860,Philadelphia,NNP,I-LOC
861,at,IN,O
862,5:40,CD,O
863,pm,NN,O
864,",",",",O
865,struck,VBD,O
866,the,DT,O
867,first,JJ,O
868,car,NN,O
869,full,JJ,O
870,in,IN,O
871,the,DT,O
872,centre,NN,O
873,",",",",O
874,throwing,VBG,O
875,it,PRP,O
876,far,RB,O
877,off,IN,O
878,the,DT,O
879,track,NN,O
880,in,IN,O
881,a,DT,O
882,nearby,JJ,O
883,ditch,NN,O
884,",",",",O
885,and,CC,O
886,completely,RB,O
887,submerging,VBG,O
888,it,PRP,O
889,.,.,O
890, ,VB,O
891,The,DT,O
892,second,JJ,O
893,car,NN,O
894,of,IN,O
895,the,DT,O
896,West,NNP,I-LOC
897,Jersey,NNP,I-LOC
898,train,NN,O
899,was,VBD,O
900,also,RB,O
901,carried,VBN,O
902,into,IN,O
903,the,DT,O
904,ditch,NN,O
905,",",",",O
906,the,DT,O
907,third,JJ,O
908,and,CC,O
909,fourth,JJ,O
910,cars,NNS,O
911,being,VBG,O
912,telescoped,VBN,O
913,.,.,O
914, ,VB,O
915,The,DT,O
916,engine,NN,O
917,of,IN,O
918,the,DT,O
919,Reading,NNP,I-LOC
920,train,NN,O
921,was,VBD,O
922,thrown,VBN,O
923,to,TO,O
924,the,DT,O
925,other,JJ,O
926,side,NN,O
927,of,IN,O
928,the,DT,O
929,track,NN,O
930,",",",",O
931,carrying,VBG,O
932,with,IN,O
933,it,PRP,O
934,the,DT,O
935,first,JJ,O
936,coach,NN,O
937,.,.,O
938, ,VB,O
939,A,NNP,O
940,few,JJ,O
941,minutes,NNS,O
942,after,IN,O
943,the,DT,O
944,collision,NN,O
945,",",",",O
946,the,DT,O
947,boiler,NN,O
948,of,IN,O
949,the,DT,O
950,Reading,NNP,I-LOC
951,locomotive,NN,O
952,exploded,VBD,O
953,",",",",O
954,scalding,VBG,O
955,several,JJ,O
956,to,TO,O
957,death,NN,O
958,and,CC,O
959,casting,VBG,O
960,boiling,VBG,O
961,spray,NN,O
962,over,IN,O
963,many,JJ,O
964,of,IN,O
965,the,DT,O
966,injured,JJ,O
967,passengers,NNS,O
968,.,.,O
969, ,CC,O
970,As,RB,O
971,soon,RB,O
972,as,IN,O
973,the,DT,O
974,news,NN,O
975,reached,VBD,O
976,Atlantic,NNP,I-LOC
977,City,NNP,I-LOC
978,it,PRP,O
979,spread,VBD,O
980,rapidly,RB,O
981,",",",",O
982,and,CC,O
983,thousands,NNS,O
984,of,IN,O
985,people,NNS,O
986,flocked,VBN,O
987,to,TO,O
988,the,DT,O
989,scene,NN,O
990,.,.,O
991, ,VBZ,O
992,The,DT,O
993,road,NN,O
994,leading,VBG,O
995,to,TO,O
996,the,DT,O
997,collision,NN,O
998,was,VBD,O
999,a,DT,O
1000,constant,JJ,O
1001,scene,NN,O
1002,of,IN,O
1003,hackney,NN,O
1004,carriages,NNS,O
1005,",",",",O
1006,omnibuses,NNS,O
1007,",",",",O
1008,bicycles,NNS,O
1009,",",",",O
1010,and,CC,O
1011,all,DT,O
1012,kinds,NNS,O
1013,of,IN,O
1014,vehicles,NNS,O
1015,",",",",O
1016,while,IN,O
1017,thousands,NNS,O
1018,of,IN,O
1019,pedestrians,NNS,O
1020,hurried,VBN,O
1021,along,IN,O
1022,the,DT,O
1023,path,NN,O
1024,to,TO,O
1025,render,VB,O
1026,what,WP,O
1027,assistance,NN,O
1028,they,PRP,O
1029,could,MD,O
1030,or,CC,O
1031,to,TO,O
1032,satisfy,VB,O
1033,their,PRP$,O
1034,curiosity,NN,O
1035,.,.,O
1036, ,JJ,O
1037,Darkness,NNP,O
1038,fell,VBD,O
1039,quickly,RB,O
1040,",",",",O
1041,and,CC,O
1042,the,DT,O
1043,work,NN,O
1044,of,IN,O
1045,rescuing,VBG,O
1046,the,DT,O
1047,injured,JJ,O
1048,and,CC,O
1049,recovering,VBG,O
1050,the,DT,O
1051,bodies,NNS,O
1052,of,IN,O
1053,the,DT,O
1054,dead,NN,O
1055,was,VBD,O
1056,carried,VBN,O
1057,out,RP,O
1058,under,IN,O
1059,the,DT,O
1060,glare,NN,O
1061,of,IN,O
1062,huge,JJ,O
1063,bonfires,NNS,O
1064,.,.,O
1065, ,CC,O
1066,As,IN,O
1067,onlookers,NNS,O
1068,watched,VBD,O
1069,through,IN,O
1070,the,DT,O
1071,night,NN,O
1072,",",",",O
1073,the,DT,O
1074,mangled,VBN,O
1075,and,CC,O
1076,burned,VBN,O
1077,bodies,NNS,O
1078,of,IN,O
1079,the,DT,O
1080,dead,JJ,O
1081,were,VBD,O
1082,carried,VBN,O
1083,from,IN,O
1084,the,DT,O
1085,wreckage,NN,O
1086,which,WDT,O
1087,trapped,VBD,O
1088,them,PRP,O
1089,and,CC,O
1090,laid,JJ,O
1091,side,NN,O
1092,by,IN,O
1093,side,NN,O
1094,on,IN,O
1095,the,DT,O
1096,gravel,NN,O
1097,bank,NN,O
1098,near,IN,O
1099,the,DT,O
1100,track,NN,O
1101,",",",",O
1102,with,IN,O
1103,no,DT,O
1104,other,JJ,O
1105,covering,VBG,O
1106,than,IN,O
1107,the,DT,O
1108,few,JJ,O
1109,newspapers,NNS,O
1110,gathered,VBN,O
1111,from,IN,O
1112,the,DT,O
1113,passengers,NNS,O
1114,.,.,O
1115, ,VB,O
1116,The,DT,O
1117,wounded,JJ,O
1118,were,VBD,O
1119,quickly,RB,O
1120,gathered,VBN,O
1121,together,RB,O
1122,and,CC,O
1123,carried,VBN,O
1124,by,IN,O
1125,train,NN,O
1126,and,CC,O
1127,wagon,NN,O
1128,to,TO,O
1129,the,DT,O
1130,Atlantic,NNP,I-ORG
1131,City,NNP,I-ORG
1132,Hospital,NNP,I-ORG
1133,",",",",O
1134,where,WRB,O
1135,six,CD,O
1136,of,IN,O
1137,them,PRP,O
1138,died,VBD,O
1139,shortly,RB,O
1140,after,IN,O
1141,their,PRP$,O
1142,arrival,NN,O
1143,.,.,O
1144, ,CC,O
1145,Two,CD,O
1146,others,NNS,O
1147,died,VBD,O
1148,within,IN,O
1149,a,DT,O
1150,day,NN,O
1151,",",",",O
1152,with,IN,O
1153,42,CD,O
1154,having,VBG,O
1155,been,VBN,O
1156,killed,VBN,O
1157,at,IN,O
1158,the,DT,O
1159,collision,NN,O
1160,scene,NN,O
1161,.,.,O
1162, ,VBZ,O
1163,The,DT,O
1164,old,JJ,O
1165,Excursion,NNP,I-LOC
1166,House,NNP,I-LOC
1167,at,IN,O
1168,the,DT,O
1169,foot,NN,O
1170,of,IN,O
1171,Mississippi,NNP,I-LOC
1172,Avenue,NNP,I-LOC
1173,was,VBD,O
1174,converted,VBN,O
1175,into,IN,O
1176,a,DT,O
1177,morgue,NN,O
1178,",",",",O
1179,and,CC,O
1180,the,DT,O
1181,dead,JJ,O
1182,were,VBD,O
1183,taken,VBN,O
1184,there,RB,O
1185,.,.,O
1186, ,NN,O
1187,During,IN,O
1188,the,DT,O
1189,first,JJ,O
1190,night,NN,O
1191,after,IN,O
1192,the,DT,O
1193,crash,NN,O
1194,",",",",O
1195,the,DT,O
1196,streets,NNS,O
1197,in,IN,O
1198,the,DT,O
1199,vicinity,NN,O
1200,of,IN,O
1201,the,DT,O
1202,Excursion,NNP,I-LOC
1203,House,NNP,I-LOC
1204,and,CC,O
1205,the,DT,O
1206,City,NNP,I-ORG
1207,Hospital,NNP,I-ORG
1208,",",",",O
1209,as,RB,O
1210,well,RB,O
1211,as,IN,O
1212,the,DT,O
1213,road,NN,O
1214,leading,VBG,O
1215,to,TO,O
1216,the,DT,O
1217,scene,NN,O
1218,of,IN,O
1219,the,DT,O
1220,accident,NN,O
1221,",",",",O
1222,were,VBD,O
1223,packed,VBN,O
1224,with,IN,O
1225,people,NNS,O
1226,anxious,JJ,O
1227,to,TO,O
1228,learn,VB,O
1229,the,DT,O
1230,latest,JJS,O
1231,news,NN,O
1232,.,.,O
1233, ,VB,O
1234,The,DT,O
1235,Bridgeton,NNP,I-LOC
1236,and,CC,O
1237,Salem,NNP,I-LOC
1238,excursionists,NNS,O
1239,who,WP,O
1240,escaped,VBD,O
1241,injury,NN,O
1242,were,VBD,O
1243,brought,VBN,O
1244,back,RB,O
1245,to,TO,O
1246,Atlantic,NNP,I-LOC
1247,City,NNP,I-LOC
1248,and,CC,O
1249,sent,VBD,O
1250,home,NN,O
1251,on,IN,O
1252,a,DT,O
1253,special,JJ,O
1254,train,NN,O
1255,several,JJ,O
1256,hours,NNS,O
1257,later,RB,O
1258,in,IN,O
1259,the,DT,O
1260,evening,NN,O
1261,.,.,O
1262, ,CC,O
1263,James,NNP,I-PER
1264,W.,NNP,I-PER
1265,Hoyt,NNP,I-PER
1266,",",",",O
1267,Secretary,NNP,O
1268,of,IN,O
1269,the,DT,O
1270,New,NNP,I-ORG
1271,Jersey,NNP,I-ORG
1272,Department,NNP,I-ORG
1273,of,IN,I-ORG
1274,Public,NNP,I-ORG
1275,Safety,NNP,I-ORG
1276,",",",",O
1277,immediately,RB,O
1278,upon,IN,O
1279,learning,NN,O
1280,of,IN,O
1281,the,DT,O
1282,extent,NN,O
1283,of,IN,O
1284,the,DT,O
1285,accident,NN,O
1286,",",",",O
1287,telegraphed,VBN,O
1288,for,IN,O
1289,the,DT,O
1290,Philadelphia,NNP,I-ORG
